,Unnamed: 0,ISIN,sector,name,price_per_share,currency
664,0,FR0000187635,Government Bonds,FRTR5 3/4 10/25/32,118.8,EUR
665,0,FR0010371401,Government Bonds,FRTR 4 10/25/38,104.75,EUR
666,0,XS2802892054,Vehicles,PORSCHE        MTN 24/32,101.01,EUR
667,0,XS2625968776,Vehicles,BMW FIN. 23/35 MTN,99.41,EUR
668,0,IE00BZ02LR44,Large/Mid Caps,Xtrackers (IE) Plc - Xtrackers MSCI World ESG UCITS ETF 1C,37.95,EUR
669,0,IE00BYVJRP78,Large/Mid Caps,iShares IV plc - iShares MSCI EM SRI UCITS ETF USD (Acc),6.792,EUR
670,0,BRPETRACNOR9,Oil & Gas,PETROLEO BRAS.SA PET.,5.301,EUR
671,0,CA69946Q1046,Oil & Gas,PAREX RESOURCES INC.,7.56,EUR
673,0,DE0005229504,Textiles & Clothing,BIJOU BRIGITTE O.N.,41.8,EUR
674,0,IE00B0M63516,Large/Mid Caps,iShares plc - iShares MSCI Brazil UCITS ETF USD (Dist) USD (Dist),19.566,EUR
675,0,US4062161017,Oil & Gas,HALLIBURTON CO,18.06,EUR
676,0,US9746371007,Consumer Goods,"WINNEBAGO IND.     DL-,50",30.0,EUR
677,0,NL0012817175,Machinery,"ALFEN N.V. EO -,10",16.36,EUR
678,0,US88339J1051,Services,"THE TRA.DESK A DL-,000001",63.08,EUR
679,0,US7005171050,Real Estate,"PARK HOTELS & RESORTS INC. REGISTERED SHARES DL -,",9.2,EUR
680,0,CA38045Y1025,Mining,GOGOLD RESOURCES INC.,1.194,EUR
681,0,SE0007691613,Electrics,DOMETIC GROUP AB,3.196,EUR
682,0,NO0010096985,Oil & Gas,"EQUINOR ASA       NK 2,50",20.4,EUR
683,0,US4180561072,Consumer Goods,HASBRO,54.52,EUR
684,0,BMG6331P1041,Electrics,"ALPHA+OMEGA SEMIC.DL-,002",19.14,EUR
685,0,FR0000120693,Alcohol & Tobacco,PERNOD RICARD        O.N.,96.72,EUR
686,0,AU000000EVN4,Mining,EVOLUTION MINING LTD,4.846,EUR
687,0,FR0013088606,Aviation & Aeronautics,"DRONE VOLT SACA   EO -,03",0.0037,EUR
688,0,US9168961038,Energy & Water,"URANIUM ENERGY    DL-,001",4.98,EUR
689,0,LU0252633754,Large Caps,MULTI UNITS LUXEMBOURG - Amundi DAX III UCITS ETF Acc,215.35,EUR
690,0,US8740541094,Consumer Goods,TAKE-TWO INTERACT. SOFTW.,201.85,EUR
696,0,LU0501835309,Consumer Goods,L'OCCITANE INTERNATIONAL,3.86,EUR
698,0,US9113121068,Transportation,UNITED PARCEL SE.B DL-01,85.23,EUR
701,0,JP3778630008,Consumer Goods,BANDAI NAMCO HO,28.98,EUR
702,0,US8552441094,Consumer Goods,STARBUCKS CORP.,71.45,EUR
703,0,IE00B6X4BP29,Raw Materials,WisdomTree Gold 3x Daily Short,4.019,EUR
704,0,US87918A1051,Health Care,TELADOC HEALTH INC.DL-001,6.29,EUR
705,0,XF000FET0011,NFT,fetch.ai,0.7361,EUR
706,0,PA1436583006,Hotel & Tourism,CARNIVAL PAIRED CTF,17.9,EUR
707,0,IL0011334468,Internet & Software,"CYBERARK SOFTWARE  IS-,01",312.8,EUR
708,0,LU0292103222,Health Care,Xtrackers - Xtrackers MSCI Europe Health Care Screened UCITS ETF 1C,204.2,EUR
709,0,US7170811035,Pharmaceuticals & Cosmetics,"PFIZER INC. DL-,05",19.76,EUR
710,0,DE000A0Q4R69,Germany,iShares DAX® ESG UCITS ETF (DE) EUR (Acc),7.409,EUR
711,0,CNE100000TW9,Energy & Water,CN.SUNTIEN GR.ENRGY,0.478,EUR
712,0,US3825501014,Vehicles,GOODYEAR TIRE RUBBER,9.66,EUR
713,0,CA7847301032,Raw Materials,SSR MINING INC.,10.25,EUR
714,0,US59516C1062,Chemistry,"MICROVAST HOLD.  DL-,0001",1.94,EUR
715,0,CA4972521062,Raw Materials,KIPLIN METALS INC.,0.0356,EUR
716,0,US6541101050,Vehicles,NIKOLA CORP.,0.3217,EUR
717,0,IE000CM02H85,Taiwan,Franklin Templeton ICAV - Franklin FTSE Taiwan UCITS ETF,27.6,EUR
718,0,US78413P1012,Transportation,"SEACOR MARINE HLDG.DL-,01",4.36,EUR
725,0,US8835561023,Health Care,THERMO FISH.SCIENTIF.DL 1,359.95,EUR
726,0,XF000AVAX016,DeFi,Avalanche,21.5173,EUR
727,0,US5657881067,Computers & Network,MARA HOLDINGS,13.98,EUR
728,0,IE00BDBRDM35,Corporate Bonds,iShares III plc - iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),4.8487,EUR
729,0,FR0000121709,Electronics,SEB SA INH.          EO 1,84.2,EUR
730,0,US22788C1053,Internet & Software,"CROWDSTRIKE HLD. DL-,0005",363.95,EUR
731,0,US23804L1035,Internet & Software,"DATADOG INC.  A DL-,00001",95.74,EUR
732,0,US4278661081,Food,HERSHEY,151.9,EUR
733,0,US2172041061,Machinery,COPART INC.,54.9,EUR
734,0,US1999081045,Constructions & Material,"COMFORT SYST. USA  DL-,01",385.0,EUR
735,0,US91324P1021,Health Care,"UNITEDHEALTH GROUP DL-,01",337.45,EUR
